DATE,HDFCBANK,ICICIBANK,SBI,KOTAKBANK,NIFTY,BANKNIFTY
2018-03-12,915.958,293.704,250.537,1098.9,10421.4,24263.35
2018-03-13,912.524,297.319,252.37,1082.226,10426.85,24328.5
2018-03-14,914.609,298.98,254.698,1080.079,10410.9,24510.6
2018-03-15,922.605,294.486,251.379,1083.973,10360.15,24129.5
2018-03-16,908.967,291.213,249.992,1059.112,10195.15,24759.801
2018-03-19,906.147,287.745,245.682,1047.38,10094.25,24873.15
2018-03-20,902.345,285.254,246.821,1043.686,10124.35,25093.801
2018-03-21,911.862,282.519,245.731,1049.477,10155.25,25226.801
2018-03-22,916.203,276.706,239.34,1051.424,10114.75,25098.25
2018-03-23,903.351,269.184,232.652,1037.196,9998.05,25195.1
2018-03-26,928.81,275.143,244.245,1037.745,10130.65,25200.6
2018-03-27,928.393,277.341,252.023,1048.229,10184.15,25320.85
2018-03-28,925.204,271.919,247.614,1046.182,10113.7,25334.449
2018-04-02,947.328,255.801,243.898,1094.856,10211.8,25102.301
2018-04-03,939.822,263.811,248.208,1101.596,10245.0,25126.15
2018-04-04,923.806,262.444,245.038,1076.635,10128.4,24943.85
2018-04-05,936.389,272.213,256.928,1116.573,10325.15,24960.65
2018-04-06,943.501,274.166,257.324,1117.471,10331.6,25042.1
2018-04-09,951.178,274.362,258.266,1116.523,10379.35,24814.4
2018-04-10,942.251,282.128,260.891,1111.93,10402.25,25010.9
2018-04-11,941.269,277.976,254.698,1124.361,10417.15,25394.6
2018-04-12,946.15,280.125,251.478,1132.848,10458.65,25531.6
2018-04-13,944.286,281.591,248.654,1149.322,10480.6,25568.301
2018-04-16,952.674,280.956,246.722,1170.29,10528.35,25605.25
2018-04-17,955.814,285.01,245.88,1163.051,10548.7,25645.4
2018-04-18,948.014,283.349,244.195,1152.168,10526.2,25852.051
2018-04-19,951.154,282.91,243.898,1152.118,10565.3,26090.5
2018-04-20,959.444,275.632,238.993,1151.07,10564.05,26154.449
2018-04-23,949.56,272.945,240.232,1167.195,10584.7,26131.0
2018-04-24,949.192,277.537,238.399,1164.199,10614.35,26413.15
2018-04-25,942.202,272.457,235.03,1166.046,10570.55,26475.15
2018-04-26,946.862,272.408,231.067,1183.869,10617.8,26474.0
2018-04-27,943.501,281.249,240.381,1186.914,10692.3,26182.15
2018-04-30,953.754,277.634,244.146,1209.229,10739.35,26073.801
2018-05-02,966.115,270.503,238.795,1254.909,10718.05,25875.6
2018-05-03,965.33,275.387,239.687,1231.645,10679.65,25750.801
2018-05-04,975.435,276.316,239.737,1231.545,10618.25,25777.699
2018-05-07,969.99,283.105,244.245,1243.127,10715.5,25684.949
2018-05-08,964.914,302.154,247.763,1239.932,10717.8,26016.801
2018-05-09,970.481,299.712,245.731,1249.218,10741.7,26273.551
2018-05-10,977.496,299.761,245.682,1245.573,10716.55,26614.25
2018-05-11,986.84,303.766,248.06,1265.343,10806.5,26254.801
2018-05-14,991.746,302.936,251.28,1269.636,10806.6,26327.801
2018-05-15,999.619,301.129,245.731,1281.867,10801.85,26956.199
2018-05-16,992.531,290.383,240.876,1279.421,10741.1,26692.801
2018-05-17,994.689,289.162,240.48,1268.737,10682.7,26257.551
2018-05-18,987.037,279.49,236.665,1292.401,10596.4,26251.0
2018-05-21,977.667,282.617,242.214,1274.678,10516.7,26367.6
2018-05-22,976.122,283.593,251.577,1260.75,10536.7,26517.801
2018-05-23,965.134,285.303,260.792,1253.411,10430.35,26451.35
2018-05-24,974.209,290.822,266.044,1273.48,10513.85,26453.551
2018-05-25,985.344,288.82,264.508,1293.849,10605.15,26607.1
2018-05-28,1001.777,292.337,269.561,1295.147,10688.65,26642.801
2018-05-29,997.068,283.203,261.882,1282.267,10633.3,26562.25
2018-05-30,1004.794,278.318,264.706,1301.237,10614.35,26417.4
2018-05-31,1056.185,279.197,267.084,1332.539,10736.15,26409.301
2018-06-01,1041.943,282.617,264.26,1315.964,10696.2,26265.75
2018-06-04,1010.151,280.125,260.594,1301.936,10628.5,26557.699
2018-06-05,1018.74,277.537,261.139,1302.685,10593.15,26496.949
2018-06-06,1015.655,277.341,267.679,1313.668,10684.65,26766.85
2018-06-07,1018.049,284.18,267.183,1308.426,10768.35,26609.699
2018-06-08,1011.706,281.591,270.503,1316.314,10767.65,26601.699
2018-06-11,1008.225,279.784,271.493,1321.306,10786.95,26423.4
2018-06-12,1008.99,280.76,280.262,1327.247,10842.85,26324.6
2018-06-13,1002.869,284.033,285.068,1323.603,10856.7,26364.199
2018-06-14,1005.806,278.172,280.015,1330.592,10808.05,26230.301
2018-06-15,1001.956,275.974,274.912,1337.93,10817.7,26204.1
2018-06-18,996.797,286.231,274.317,1313.269,10799.85,26433.949
2018-06-19,998.944,286.036,270.106,1301.237,10710.45,26503.301
2018-06-20,1015.062,286.426,270.8,1322.554,10772.05,26493.85
2018-06-21,1015.778,291.067,266.192,1311.921,10741.1,26753.301
2018-06-22,1028.49,293.704,270.552,1319.359,10821.85,26894.551
2018-06-25,1034.217,283.007,265.994,1325.949,10762.45,26816.199
2018-06-26,1033.6,281.444,264.954,1327.796,10769.15,27026.551
2018-06-27,1042.93,272.603,259.306,1322.155,10671.4,26935.949
2018-06-28,1051.94,265.13,254.649,1337.032,10589.1,26679.801
2018-06-29,1040.882,269.038,256.977,1340.876,10714.3,27008.1
2018-07-02,1023.504,270.991,256.482,1335.884,10657.3,26880.9
2018-07-03,1021.999,266.595,255.144,1351.06,10699.9,26789.65
2018-07-04,1038.463,266.937,255.095,1363.141,10769.9,26873.199
2018-07-05,1048.435,265.277,254.104,1362.892,10749.75,27008.15
2018-07-06,1044.189,263.811,254.847,1369.082,10772.65,26974.4
2018-07-09,1049.373,264.935,259.157,1382.961,10852.9,27031.301
2018-07-10,1059.616,267.084,261.337,1370.031,10947.25,27406.4
2018-07-11,1060.53,262.541,256.73,1385.515,10948.3,27634.4
2018-07-12,1069.268,266.009,260.346,1388.362,11023.2,27842.6
2018-07-13,1076.648,261.564,255.392,1402.897,11018.9,27764.15
2018-07-16,1070.699,253.261,249.298,1406.992,10936.85,27596.6
2018-07-17,1074.599,260.294,256.68,1399.151,11008.05,27355.949
2018-07-18,1074.328,256.631,257.176,1397.103,10980.45,27695.5
2018-07-19,1079.215,255.166,257.82,1346.006,10957.1,27898.5
